id,created_at,trigger_conditions,action_vetoes,action_forces,veteran_rationale,global_failure_count,hitl_status,updated_at,source_audio_url
0d918c5d-fe41-46b3-93f0-bb6574bff640,2026-03-29 10:33:33.36277+00,"{""exercise_type"": ""upper abs""}","[""weighted exercise > 5kg""]","[""use medicine ball 2-5kg"", ""keep lower back on the ground""]","Using heavy weights for upper abs is extremely prone to causing injury. A lighter medicine ball with proper form, ensuring the lower back stays on the ground, is a safer and more effective alternative.",0,Active,2026-03-29 10:33:33.36277+00,https://pnbrjxgmaulijamhcyik.supabase.co/storage/v1/object/public/dad_audio/1774780401_fd906836.m4a?
140d6fc6-1ed6-4fb0-a765-788a6ba7ac78,2026-04-02 10:21:00.547709+00,"{""current_day_focus"": ""upper_body"", ""previous_day_activity"": ""strides""}","[""weighted leg exercises"", ""high-intensity leg exercises""]","[""bodyweight squats"", ""minimal leg exercises""]","Strides are taxing on the legs. The following day's leg work should be minimal to prioritize recovery, even when the main workout targets the upper body.",0,Active,2026-04-02 10:21:00.547709+00,https://pnbrjxgmaulijamhcyik.supabase.co/storage/v1/object/public/dad_audio/1775125240_28cb975a.m4a?
28cd8886-af83-4957-9f32-5d4678928115,2026-04-01 03:48:13.078913+00,"{""physical_state"": ""tired after recent strides"", ""recent_activity"": ""strides"", ""days_since_activity"": ""2-3""}","[""increase stride count"", ""increase stride effort""]","[""repeat previous stride workout""]","If the body feels tired days after a specific workout, it hasn't fully adapted to the load. Increasing the intensity or volume before adaptation risks overtraining or injury, so maintain the same effort until recovery improves.",0,Active,2026-04-01 03:48:13.078913+00,https://pnbrjxgmaulijamhcyik.supabase.co/storage/v1/object/public/dad_audio/1775015279_38aad782.m4a?
3a4453b8-5697-4a36-8389-e2736da419b7,2026-03-20 18:21:44.830738+00,"{""pain_location"": ""knee/upper hamstring""}","[""jogging"", ""high-impact lower body exercise""]","[""brisk walking"", ""light strides"", ""upper body exercises""]","When experiencing minor knee or hamstring pain, reduce lower body impact to test the injury and allow recovery. Shift focus to upper body exercises to maintain workout consistency without further aggravation.",0,Active,2026-03-20 18:21:44.830738+00,https://pnbrjxgmaulijamhcyik.supabase.co/storage/v1/object/public/dad_audio/1774030890_2aab09eb.m4a?
4b940cc8-e8bd-4eef-8ba2-9ca125a5a93f,2026-03-20 18:24:31.47409+00,"{""subjective_feeling"": ""in the rhythm"", ""primary_activity_completed"": ""strides""}",[],"[""abs"", ""upper body"", ""stretching""]","The primary running work is not a complete session on its own. It must be supplemented with core, upper body, and flexibility training for a holistic workout.",0,Active,2026-03-20 18:24:31.47409+00,https://pnbrjxgmaulijamhcyik.supabase.co/storage/v1/object/public/dad_audio/1774031054_4247025d.m4a?
50e6aa8a-cf5d-4e46-ac1e-2c9c057d5d63,2026-03-27 17:29:53.327159+00,"{""condition"": ""obese""}",[],"[""cycling"", ""half-court basketball""]",Low-impact exercises like cycling are recommended for obese individuals to protect the knees from the stress and potential injury associated with high-impact activities.,0,Active,2026-03-27 17:29:53.327159+00,https://pnbrjxgmaulijamhcyik.supabase.co/storage/v1/object/public/dad_audio/1774632578_2c09d9b9.m4a?
7047bbba-85be-4de6-96ab-e59c9c58de4e,2026-03-28 05:41:01.722214+00,"{""weather"": [""hot"", ""cold"", ""raining""]}","[""outdoor training""]","[""gym training""]","When weather is adverse, indoor training is safer and more effective than battling extreme heat, cold, or rain outdoors.",0,Active,2026-03-28 05:41:01.722214+00,https://pnbrjxgmaulijamhcyik.supabase.co/storage/v1/object/public/dad_audio/1774676447_cb0ca003.m4a?
7f3a0310-b039-498e-9ea4-d29e50593387,2026-03-27 17:23:29.041602+00,"{""fatigue_level"": ""high"", ""available_time_minutes"": ""<=5""}",[],"[""very_light_arm_rotation"", ""stretching""]","A short, light session maintains the exercise habit. Warming up often provides enough energy to transition into a longer workout, preventing a missed day.",0,Active,2026-03-27 17:23:29.041602+00,https://pnbrjxgmaulijamhcyik.supabase.co/storage/v1/object/public/dad_audio/1774632194_3e760727.m4a?
87e1300b-8738-4700-b7df-d38d46e212d4,2026-03-22 05:47:43.766537+00,"{""symptom"": ""muscle soreness""}","[""full-blown workout"", ""gym""]","[""long walk (30-45 minutes)"", ""ab exercises"", ""squats"", ""push-ups""]","When muscles are sore from a previous day's exertion, avoid a high-intensity gym session to prevent over-straining. Instead, promote active recovery with low-impact cardio and foundational bodyweight exercises to aid healing.",0,Active,2026-03-22 05:47:43.766537+00,https://pnbrjxgmaulijamhcyik.supabase.co/storage/v1/object/public/dad_audio/1774158449_ef03ceb0.m4a?
96510c1c-ef58-45ca-a6b5-7de49b69acf5,2026-03-23 14:51:01.281119+00,"{""physical_state"": ""very tired""}","[""gym workout""]",[],"When the body is very tired, it is more prone to injury, so you should not go to the gym.",0,Active,2026-03-23 14:51:01.281119+00,https://pnbrjxgmaulijamhcyik.supabase.co/storage/v1/object/public/dad_audio/1774277447_c81b9f4a.m4a?
